bill_number,bill_type,congress,full_name_display,bioguide_id,person_id
1,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
4,S,117,"Hassan, Margaret Coldwell Wood (D-NH-1)",H001076,232351
4,S,117,"Warner, Mark Robert (D-VA-2)",W000805,66837
14,S,117,"Young, Todd Christopher (R-IN-1)",Y000064,52983
15,S,117,"Sinema, Kyrsten Lea (D-AZ-1)",S001191,198919
26,S,117,"Whitehouse, Sheldon (D-RI-2)",W000802,51844
28,S,117,"Scott, Richard Lynn (R-FL-2)",S001217,175586
32,S,117,"Reed, John Francis (D-RI-1)",R000122,51223
35,S,117,"Braun, Michael Kent (R-IN-2)",B001310,242475
35,S,117,"Carper, Thomas Richard (D-DE)",C000174,51161
37,S,117,"Carper, Thomas Richard (D-DE)",C000174,51161
37,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
40,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
53,S,117,"Merkley, Jeffrey Alan (D-OR-1)",M001176,66836
53,S,117,"Schatz, Brian Emanuel (D-HI-2)",S001194,201768
58,S,117,"Booker, Cory Anthony (D-NJ-2)",B001288,211545
60,S,117,"Hawley, Joshua David (R-MO-1)",H001089,307631
61,S,117,"Marshall, Roger Wayne (R-KS-2)",M001198,259544
65,S,117,"Markey, Edward John (D-MA-2)",M000133,51500
65,S,117,"Tester, Raymond Jon (D-MT)",T000464,51845
69,S,117,"Cornyn, John, III (R-TX-1)",C001056,51170
75,S,117,"Hyde-Smith, Cindy (R-MS-1)",H001079,286518
76,S,117,"Cramer, Kevin John (R-ND)",C001096,198816
79,s,117,"Burr, Richard Mauze (R-NC-1)",B001135,51870
79,s,117,"Heinrich, Martin Trevor (D-NM-1)",H001046,66869
81,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
88,S,117,"Rounds, Marion Michael (R-SD)",R000605,221844
89,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
92,S,117,"Daines, Steven David (R-MT)",D000618,198810
92,S,117,"Graham, Lindsey Olin (R-SC-2)",G000359,51186
92,S,117,"Hawley, Joshua David (R-MO-1)",H001089,307631
92,S,117,"Romney, Willard Mitt (R-UT-2)",R000615,172424
92,S,117,"Scott, Richard Lynn (R-FL-2)",S001217,175586
95,S,117,"Marshall, Roger Wayne (R-KS-2)",M001198,259544
96,S,117,"Sanders, Bernard (I-VT)",S000033,51605
97,S,117,"Markey, Edward John (D-MA-2)",M000133,51500
99,S,117,"Thune, John Randolph (R-SD)",T000250,51242
109,S,117,"Hyde-Smith, Cindy (R-MS-1)",H001079,286518
109,S,117,"Inhofe, James Mountain (R-OK-2)",I000024,51195
115,S,117,"Sinema, Kyrsten Lea (D-AZ-1)",S001191,198919
120,s,117,"Cortez Masto, Catherine Marie (D-NV-2)",C001113,259552
123,S,117,"Cruz, Rafael Edward (R-TX-2)",C001098,175665
123,S,117,"Wicker, Roger Frederick (R-MS-2)",W000437,51675
124,S,117,"Daines, Steven David (R-MT)",D000618,198810
124,S,117,"Sasse, Benjamin Eric (R-NE-1)",S001197,12801
127,S,117,"Durbin, Richard Joseph (D-IL-1)",D000563,51180
127,S,117,"Luján, Ben Ray, Jr. (D-NM-2)",L000570,66871
127,S,117,"Menendez, Robert Jacobsen, Sr. (D-NJ-1)",M000639,51523
127,s,117,"Ossoff, Thomas Jonathan (D-GA-1)",O000174,34364
127,S,117,"Padilla, Alejandro (D-CA-1)",P000145,189610
127,S,117,"Shaheen, Cynthia Jeanne Bowers (D-NH-2)",S001181,66834
128,S,117,"Scott, Timothy Eugene (R-SC-1)",S001184,151800
134,S,117,"Collins, Susan Margaret (R-ME-1)",C001035,51168
135,S,117,"Van Hollen, Christopher J., Jr. (D-MD-2)",V000128,51658
137,S,117,"Braun, Michael Kent (R-IN-2)",B001310,242475
137,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
139,S,117,"Tillis, Thomas Roland (R-NC-2)",T000476,192907
142,S,117,"Kaine, Timothy Michael (D-VA-1)",K000384,175490
151,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
151,S,117,"Smith, Christine Elizabeth Flint (D-MN-1)",S001203,282320
151,S,117,"Stabenow, Deborah Ann Greer (D-MI-1)",S000770,51236
163,S,117,"Tester, Raymond Jon (D-MT)",T000464,51845
168,S,117,"Cardin, Benjamin Louis (D-MD-1)",C000141,51313
172,S,117,"Hassan, Margaret Coldwell Wood (D-NH-1)",H001076,232351
181,S,117,"Baldwin, Tammy Suzanne Green (D-WI-2)",B001230,51260
